id|text|sentiment
715600523756314626|@IndosatCare iya nomernya masih itu. Mksh.|Positif
715599778948599808|@IndosatCare udah di DM yah|Positif
704874550631145472|@Telkomsel aku pakai loop kak :)|Positif
704875356910563328|@rikawidjaya04 Terima kasih juga Kak Rika atas kepercayaannya menggunakan Indosat Ooredoo. Semoga hari ini menyenangkan. Have a nice day :)|Positif
713428238458953732|@ndusell saya simpati tan|Positif
720179784098181120|@telkomsel terima kasih penjelasannya mimin|Positif
713428258008621056|@indosatcare terima kasih ya, untuk informasinya.|Positif
720180674808819712|@Telkomsel yess yess|Positif
708415610238009344|@Telkomsel ok thanks|Positif
727741684952510464|thanks @IndosatCare koneksi internet sudah normal, biarpun pulsa yang kepotong tidak balik lagi|Positif
711885054792716292|@Telkomsel @Yoppy_Efge terimakasih min|Positif
711883704570806272|@Telkomsel mantaf infonya mas doni n mas rifco...terima kasih...|Positif
711884265454088193|@Telkomsel terima kasih informasi nya kak :)|Positif
722986558366711810|@Telkomsel makasihhh minnn,kpn2 boleh nnya lgi?????|Positif
703122592035540992|@Telkomsel tq mba Diah|Positif
703124465735970817|@IndosatCare kartu 4G nya udah diterima, mksh min https://t.co/BwoEHDQSnM|Positif
725387058991140866|@IndosatCare ok, jika kebijakan dari indosat seperti itu, mohon sosialisasi untuk pengguna yg belum suport 4G dan &amp; yg sudah 4G.|Positif
725387173931819008|@Telkomsel terima kasih banyak, mas joni. Really helpfull|Positif
713742780200161282|@Telkomsel baik, terima kasih atas informasi yg sudah dijelaskan, selamat malam :)|Positif
713743461132840961|@Telkomsel okee mimin, makasih yah infonya 😊|Positif
704700362238767104|Super sekali adminya wkwk @IndosatCare|Positif
715386568823844864|@Telkomsel ok, makasi Mbak Naila ☺️|Positif
704701127699402761|@IndosatCare kondisi sinyal bagus min H+ malahan|Positif
718988785657057280|@Telkomsel iya,makasih|Positif
724616445317935105|Min ane mau minta maaf @Telkomsel ternyata provider telkomsel yg paling mantep dimana aja. Ane ganti2 kartu malah makin parah #CintaTsel|Positif
724616901096169472|@IndosatCare sudah bisa min. Thx|Positif
724616977453441025|@Telkomsel sudah kok min,trima kasih|Positif
724616289910550530|@Telkomsel thank you for your help.|Positif
724616442075697153|@IndosatCare ya bner Admin..lebih luwes.praktis dan akurat bingit...saya suka.ditmbah lg anti lemot..pas bget wat slncar di internet.....|Positif
706140077865308161|@IndosatCare ok tq yaa|Positif
706141284579213313|@IndosatCare oh, begitu.. terima kasih u/ infonya. N semoga secepatnya bisa aktif kmbali.|Positif
706141149375778818|@Telkomsel He2. Kedaton msk Kota Bandarlampung, tp klw blm tercover ya ga apa2. Thanks a lot bantuanny. Good night &amp; slmt istirahat ya all.|Positif
723779266282840064|@telkomsel mksih.. :)|Positif
702858709119037442|@Telkomsel terima kasih ya, skrg sudah 4G ????|Positif
717275982642565120|@IndosatCare Ok sudah min, thanks info..Indosat emang yahut untuk internet 4g|Positif
717277115654098944|@Telkomsel baiklah, terimakasih min ????|Positif
714975784859897856|@Telkomsel oke min thankyou infonya ??|Positif
725292113433268225|@IndosatCare oh ya... Makasih infonya yuaaa|Positif
719423331921821697|@Telkomsel Keren Ditunggu Live Stream nya :D|Positif
702441793388986369|@Telkomsel baik. Mohon agar bisa cepat ditindaklanjuti :)|Positif
702442812760051712|@IndosatCare makasih min ????|Positif
713036334613409793|@IndosatCare oke thanks|Positif
714782144552275968|@Telkomsel terima kasih|Positif
714097511292469248|@Telkomsel terimakasih infonya (y)|Positif
705750532237840385|@Telkomsel oh gitu, oke makasih banyak|Positif
705750614718828544|@Telkomsel , Terima kasih atas respon DM nya, Oya klo yg buka 24jam cuma grapari yg di Dago aja ya ? Yg di jln banda hr sabtu buka ga ya ?|Positif
718704259231981568|@IndosatCare okok secepat nya. Hatur nuhun|Positif
730381841052524544|@IndosatCare thank you. I had been send an email. I hope I will get a response as soon as possible .-Best Regards|Positif
730381365129023489|@indosatcare Oia,, thanks infonya ????|Positif
730381791698124801|Retweeted Indosat Ooredoo Care (@IndosatCare):@suara_pamekasan OK kak, terima kasih untuk info yang diberikan. Sukses selalu ya ^Adam|Positif
726323682331643906|@Telkomsel setelah dikonf pihak telkomsel dan ditanggapi serius skrg signal back to the high performance????|Positif
711126360991928321|@Telkomsel terima kasih :D|Positif
711126122096939009|@Telkomsel oke terima kasih atas informasinya.. selamat sore...|Positif
726098463004352512|@Telkomsel saya baru dapat sms paketan saya diperpanjang min. makasih sebelumnya :)|Positif
703083582164566017|@Telkomsel thx info nya|Positif
703083541429514240|@Telkomsel okay problem solved, thanks Telokomsel|Positif
703082573061185536|@telkomsel ok. Trmaksi mbak vina|Positif
703082071648968704|@telkomsel iya skali lagi trimakasih.|Positif
709032223308034048|@IndosatCare : oke kak terima kasih atas bantuannya|Positif
709031598239297536|@IndosatCare iya kak terima kasih , tolong dibantu sekali lagi kak|Positif
719368591162744832|@IndosatCare baik terima kasih|Positif
709032818966401025|Latepost dinner ???? terima kasih Telkomsel Poin ?? #Solaria #Telkomsel #TelkomselPoin @ Mal https://t.co/J4ZTmB9riP|Positif
718018638121279488|@IndosatCare baik tks|Positif
718018868606738432|@IndosatCare oke terima kasih kakak|Positif
716275071933755392|@Telkomsel siapp|Positif
716273794248101889|@Telkomsel sudah saya DM. Terima kasih sebelumnya. :)|Positif
723445642282983424|@telkomsel oke, terimakasih.|Positif
725937536695062529|@Telkomsel terima kasih untuk penyesuaian pulsanya. Komplainnya sudah terselesaikan dengan baik|Positif
728054300992147456|@Telkomsel Okay, terima kasih.|Positif
719408461893672960|@Telkomsel oke, terima kasih atas infonya|Positif
728053982157922304|@Telkomsel okaaayyy.|Positif
724145802495455232|@telkomsel ok tks atas penjelasanya|Positif
724145520638189568|@IndosatCare sudah mulai dapat balasan sejak siang ini.. thx :)|Positif
726657547009060864|@Telkomsel baik. Terimakasih min :)|Positif
719885687902724100|@Telkomsel ok, thank you infonya mas Azam.|Positif
711356015980072965|@indosatcare tapi hari ini ada quiz gak min? Btw, makasih udah follback|Positif
711433261612797952|@IndosatCare ditunggu informasi baiknya secepatnya. Terima kasih.|Positif
711433047816544258|@IndosatCare berhasil min, terimakasih bantuannya ;)|Positif
726373241770516480|@IndosatCare ok min..|Positif
716951935379574784|Mantep bgt dah ini @IndosatCare @IndosatOoredoo @IsatOoredooJBR langsung di respon cepat ketika kita laporan masalah. Good bgt dah|Positif
704260860751941632|@Telkomsel oke makasih min|Positif
704260806406381568|@Telkomsel sampai saat ini  simpati loop yg saya gunakan masih lancar, jalan di HSDPA  :)|Positif
704260479758143489|@telkomsel berarti bisa dipake utk telpon &amp; sms ya? oke terimakasih|Positif
724794638293409793|@indosatcare  ok thanks kak ^^|Positif
713537652553752576|@Telkomsel ok mba lita|Positif
718498017947439104|@Telkomsel hadeh tp di sms sampe 2x aktif dri jam 12, ok deh thx udh jawab|Positif
728020475528404992|@IndosatCare oke makasih kak|Positif
723876267385217025|@Telkomsel oke min, thanks infonya ????|Positif
717496603704041472|@telkomsel, terima kasih, keluhan kami ditangani dgn sangat baik dan profesional|Positif
729258628486586368|@IndosatCare oh gitu ya, okemakasih :)|Positif
721226875184357376|@Telkomsel terimakasih atas bantuannya.|Positif
705389181413920768|@IndosatCare ok di tunggu secepatnya ya. terimakasih..|Positif
705388269656100865|@IndosatCare iya. Makasih|Positif
705388080836931585|@Telkomsel ohhh.... okai terima kasih|Positif
705387517453795328|@Telkomsel Oke deh kalau begitu. Terima kasih banyak ya Mas/Mba|Positif
724800720520650752|ok trimaksih infonya @IndosatCare|Positif
723548528023244802|@IndosatCare oke sudah dilengkapi ya. Makasih mohon diproses|Positif
724801179641745410|@IndosatCare nah ini baru program sedaap...masuk daptaarr bulan depaan ??????|Positif
719812950379266048|@Telkomsel siip! thanks ka Naila|Positif
719813842172125184|@IndosatCare oke kak|Positif
719813924057538560|@Telkomsel oke saya tunggu hasilnya.|Positif
719813444975730688|@IndosatCare oke akan sy coba|Positif
719926806338375680|@IndosatCare ohh jadi next promonya ada lagi.Oke min, Makasih ya|Positif
720652561804439552|@Telkomsel thanks for your response Dhika n Donie. Saya sdh krm data via DM|Positif
719928691069857792|@Telkomsel Thanks untuk info lebih lanjutnya, semoga dapat lebih memperluas lagi jaringan 4G nya. Karena kota yg saya tinggali belum bisa.|Positif
726125726966095873|@Telkomsel siaaaaap|Positif
720282209744068608|ok thanks info nya.Sukses selalu untuk @Telkomsel|Positif
718855350259036160|@Telkomsel sudah min|Positif
724835000911323141|Baik admim yang cantik :-D @Telkomsel|Positif
706138892416585734|@Telkomsel oke terima kasih|Positif
706139526905753600|@Telkomsel terimakasih sangat dg respon nya, pelayanana nya sangat cepat,|Positif
706139384567848965|@IndosatCare iya makasih jg fast response jwbnya ^^|Positif
706138500257550336|@IndosatCare iya siap. Senin nanti ditukar. Kalau minggu kan tutup ya. Terimakasih infonya ^^|Positif
720494468311425024|@Telkomsel oke, terima kasih atas infonya|Positif
705708185852579840|@IndosatCare oke, makasih ya informasinya... Sangat membantu ????|Positif
705707955673411584|@Telkomsel mantabbb,,mksh min infonya,tambah jaya pokoknya|Positif
705706156883255296|@Telkomsel iya info lebih lanjut saya tunggu thx :)|Positif
702795389196333057|@Telkomsel ok|Positif
702797028804263937|@Telkomsel ok|Positif
724402663949922304|selamat pagi sahabat @Telkomsel, Semangat Hari senin, sukses selalu untuk kita semua :)|Positif
723467355934715904|@Telkomsel oke makasih|Positif
706161302268301312|@Telkomsel kalo mendukung, jadi bisa datang ke GraPARI untuk dapatkan USIM 4G. Makasih infonya.|Positif
720983288408465408|@IndosatCare sudah gue DM min, dibalas ya, makasih mimin :*|Positif
708165180669034496|@Telkomsel Sudah normal kembali min, terimakasiih|Positif
708166096143003648|@Telkomsel terima kasih|Positif
727413373369896961|@IndosatCare ok deh min, smoga saat sudah sampai sini 4G nya, promo nya masih ada :D|Positif
728243421089947650|@IndosatCare oke makasih. Oh ya utk bonusnya berlakunya sampai kartu tenggang apa sesuai masa berlaku paketan?|Positif
705990567918874624|@Telkomsel okee min. https://t.co/0xeNEIF9gL|Positif
720229548441214976|@IndosatCare terimakasih|Positif
715599774154502145|@IndosatCare selamat mlm.kenapa saya cek kuota tidak bisa.mohon diinfokan kuota saya ada brp...thank u indosat|Netral
704874080814542848|Min cara pakai Super Wifi gmana ya? @IndosatCare|Netral
704874113639321600|@indosatcare apakah ada batasan kouta untuk semua aflikasi chatting misal 10mb untuk semua aflikasi atau bisa sepuas nya|Netral
704874213534896128|@IndosatOoredoo min mau tany klo galery indosat daerah cikarang-bekasi dmn ya? terima kasih..|Netral
704874504124821504|@Telkomsel saya mau beli kartu telkomsel ada saran kartu As atau simpati|Netral
704874842491744256|@IndosatCare sudah, monggo di cek.|Netral
704875661131841536|@Telkomsel Preorder S7 Edge apakah tidak available untuk propinsi lain? https://t.co/D9blYx8uFH|Netral
704875263134334976|@Telkomsel terima kasih mely... bisa tau lokasinya di manado ? cc. @TelkomselManado|Netral
704874888117526528|@indosatcare : udah 12 jam nih|Netral
704875200291205122|@indosatcare kalo msaaktifny msh 20hr|Netral
704875221455474688|@IndosatCare sudah min|Netral
704876093795270657|Siang @IndosatCare ... mw tanya... tiap bulan sy mendapat bonus pulsa 100rb ... itu hanya bz dpakai untk nelp sms aja yah|Netral
719985190978715648|@Telkomsel tolong mbak gimana caranya ngatur kode puk..Pin kartu terblokir|Netral
713429063637929985|@Telkomsel permisi, mau tanyacara untuk bisa menggunakan paket murah telkomsel di *550 bagaimana ya?|Netral
713429620448632832|@Telkomsel lalu, area wifi Flashzone nya itu dimana aja ka?|Netral
713429923336032256|@Telkomsel kemrin sy beli d jogja. Lokasi sy skrng d kebumen. Berrti masih bisa d pakai cukup isi ulang pulsa saja min?|Netral
720179632452947968|@Telkomsel kapan nih daerah indihiang, tasikmalaya kejangkau 4G.. Tetangga sebelah mh udh nyampe 4G nya ke kampung sya .. hehe ☺|Netral
713430257718550528|@Telkomsel maksudnya kuota wifi gmn ya masih ga ngerti. Kota yang udah terkoneksi flashzonr seamless itu maksudnya gmn|Netral
713430303105114112|@IndosatCare mw tanya kalo di cirebon sudah bisa 4g blm?trims|Netral
720179687494815744|@indosatcare Nama: Paniansyah email: paniansyah27@gmail.com|Netral
720179680427421696|@Telkomsel mohon dibantu PUK2 untuk nomor 082279010038,.. 18 angka belakang kartu 6210 0879 7201 0038 00.|Netral
713430053997006848|@IndosatCare *363# atau sms usage ke 363|Netral
708416357105152000|@IndosatCare kalo paket XL telfon dan sms unlimited ke sesama indosat?|Netral
726478676779393024|@IndosatCare min gimana sih cara nya streaming spotify pake kuota spotify nya?|Netral
726479179168927744|@IndosatCare brarti kalo gamau langganan spotify premium nya bisa kan? Jd cm pake spotify yg free aja pake kuota spotify|Netral
727741821464551424|@telkomsel grapari manado hari ini buka sampe jam brp yak? Thankyou|Netral
727741820801814528|@IndosatCare halo. Utk nomor 085775646559 mau perpanjang bundling Huaweinya kok tidak bisa ya? Pulsa sudah terisi 25rb. Sebelumnya terlambat|Netral
727741867220213760|@Telkomsel apa aja syaratnya kak?|Netral
720180064097206272|Paket TAU masih ada nggak ya @Telkomsel|Netral
720180174323458048|@IndosatCare kak klo ngirim sms balasan disini motong plsa utama ga ? Mksh ☺ https://t.co/szjikqkLAa|Netral
720180223879172096|@Telkomsel jadi kalo saya sudah pake paket 50rb 8 gb , apakah saya bisa pake yang 30rb 5 gb ?|Netral
727742119427870720|@Telkomsel kemarin sdh dijelaskan ke cs Telkomsel via DM bahwa HP yg digunakan tdk ada fitur NFC bawaan, stiker TCash jg dlm kondisi ok!|Netral
727742120170246144|@Telkomsel free?|Netral
727742376446468097|@IndosatCare iya min.|Netral
727742493144588288|@IndosatCare mohon bantuannya cara daftar mentari aura.|Netral
727742205746679808|@HaloBCA samsung note 3 provider telkomsel simpati.|Netral
727742585243090946|@indosatcare aku mau beli pkek pulsa,untuk memperpanjang masa aktif ny ..|Netral
727742705086894080|Min @IndosatCare kalo cara registrasi pulsa darurat caranya kumaha ?|Netral
727742797600657418|@IndosatCare kartu baru yang di aktifkn mulai tnggl berapa ya?|Netral
711883498940837892|@TelkomCare bagaimana cara mem perpanjang masa aktif kartu telkomsel,,,,,?|Netral
711884145455079425|@IndosatCare sudah saya dm yaa|Netral
711884376716382208|@IndosatCare free 10gb masih berlaku min?|Netral
711884719957258247|@Telkomsel apakah uang pulsa dapat di jadikan T-Cash ato dapat diuangkan kembali, Terima kasih.|Netral
711884795299540993|@Telkomsel saya belum melakukan aktivasi. waktu itu coba tanpa pulsa -_-|Netral
711885005866160128|@indosatcare cek dm sekarang ya.. penting soalnya|Netral
710322894224494592|@IndosatCare e-mailnya santosour@gmail.com min, kalau nomor alternatif tidak ada.|Netral
710323793344991233|@Telkomsel benar.|Netral
722985310049566720|@Telkomsel program bonus 50rb mytelkomsel sdh berakhir blom y??|Netral
722985450210643969|@Telkomsel alamat grapari di sidoarjo dan surabaya dimana?|Netral
722985873973731328|@Telkomsel min,call center krtu Halo brp ya???|Netral
722985899718397952|@Telkomsel promo bonus 50rb mytelkomsel sampai bln april apa mei min?|Netral
722986076269203458|@Telkomsel byar gak sih klo tlpon call center kartuhalo nya????|Netral
